status;agency_reference;type;purpose;address;complement;district;complex;city;sell_price;rental_price;complex_fee;property_tax;bedrooms;suites;parking_spaces;date_added;total_area;area;number;full_address;agency;latitude;longitude
Ativo;AP2676;Apartamento;Residencial;Rua Joaquim Távora 1599;1;Vila Mariana;Le Gran Park;São Paulo;2100000.0;0.0;2170.0;1030.0;4;3;3;2019-11-25 00:00:00.000;0.0;161.0;1599;Le Gran Park, Rua Joaquim Távora 1599, Vila Mariana, São Paulo;NuDoor;-023.5884800000;-046.6477000000
Ativo;AP2686;Apartamento;Residencial;Rua Saint Hilaire 145;1;Jardim Paulista;Duetto;São Paulo;1970000.0;0.0;1700.0;550.0;2;2;2;2019-11-28 00:00:00.000;0.0;114.0;145;Duetto, Rua Saint Hilaire 145, Jardim Paulista, São Paulo;NuDoor;-023.5709600000;-046.6542000000
Ativo;AP2659;Apartamento;Residencial;Rua Bagé 100;1;Vila Mariana;The Ritz;São Paulo;1180000.0;0.0;1900.0;610.0;3;3;3;2019-11-22 00:00:00.000;0.0;136.0;100;The Ritz, Rua Bagé 100, Vila Mariana, São Paulo;NuDoor;-023.5837100000;-046.6454400000
Ativo;AP1821;Apartamento;Residencial;Rua Guiratinga 910;1;Vila Mariana;Vista Mariana;São Paulo;989000.0;0.0;0.02;0.0;3;1;2;2018-06-07 00:00:00.000;101.0;99.0;910;Vista Mariana, Rua Guiratinga 910, Vila Mariana, São Paulo;NuDoor;-023.6099400000;-046.6310700000
Ativo;AP1823;Apartamento;Residencial;Rua Correia de Lemos 153;1;Chácara Inglesa;Piazza Vita;São Paulo;999000.0;0.0;0.02;0.0;3;1;3;2018-06-07 00:00:00.000;123.0;123.0;153;Piazza Vita, Rua Correia de Lemos 153, Chácara Inglesa, São Paulo;NuDoor;-023.6083400000;-046.6331100000
Ativo;AP2703;Apartamento;Residencial;Alameda Campinas 1446;2;Jardim Paulista;Le Locle;São Paulo;2700000.0;0.0;0.03;0.0;3;3;3;2019-12-06 00:00:00.000;0.0;168.0;1446;Le Locle, Alameda Campinas 1446, Jardim Paulista, São Paulo;NuDoor;-023.5723700000;-046.6596600000
Ativo;AP2702;Apartamento;Residencial;Alameda Campinas 1446;1;Jardim Paulista;Le Locle;São Paulo;1980000.0;0.0;0.03;0.0;2;2;2;2019-12-06 00:00:00.000;0.0;112.0;1446;Le Locle, Alameda Campinas 1446, Jardim Paulista, São Paulo;NuDoor;-023.5723700000;-046.6596600000
Ativo;AP2701;Apartamento;Residencial;Alameda Joaquim Eugênio de Lima 1600;1;Jardim Paulista;Paço do Prado;São Paulo;11300000.0;0.0;7800.0;5000.0;4;4;8;2019-12-06 00:00:00.000;0.0;587.0;1600;Paço do Prado, Alameda Joaquim Eugênio de Lima 1600, Jardim Paulista, São Paulo;NuDoor;-023.5734800000;-046.6583300000
Ativo;AP2700;Apartamento;Residencial;Rua Batataes 80;1;Jardim Paulista;V Xchange Jardins;São Paulo;450000.0;0.0;600.0;0.0;1;0;1;2019-12-06 00:00:00.000;0.0;31.0;80;V Xchange Jardins, Rua Batataes 80, Jardim Paulista, São Paulo;NuDoor;-023.5723900000;-046.6550100000
Ativo;AP1951;Apartamento;Residencial;Rua Francisco Cruz 284;1;Vila Mariana;Iluminatto;São Paulo;2000000.0;0.0;1590.0;0.01;4;3;3;2018-08-07 00:00:00.000;197.0;177.0;284;Iluminatto, Rua Francisco Cruz 284, Vila Mariana, São Paulo;NuDoor;-023.5906400000;-046.6323800000
Ativo;AP2414;Apartamento;Residencial;Avenida Engenheiro Luís Gomes Cardim Sangirardi 261;261;Vila Mariana;High Park;São Paulo;2600000.0;0.0;2540.0;0.0;4;4;4;2019-07-08 00:00:00.000;0.0;254.0;261;High Park, Avenida Engenheiro Luís Gomes Cardim Sangirardi 261, Vila Mariana, São Paulo;NuDoor;-023.5809800000;-046.6289500000
Ativo;CO0047;Cobertura;Residencial;Rua Guarará 318;318;Jardim Paulista;Jade Cobert;São Paulo;8890000.0;0.0;7290.0;0.0;4;4;6;2019-10-18 00:00:00.000;0.0;347.0;318;Jade Cobert, Rua Guarará 318, Jardim Paulista, São Paulo;NuDoor;-023.5725200000;-046.6585100000
Ativo;AP2434;Apartamento;Residencial;Rua Almeida Torres 111;111;Aclimação;The Parker 212;São Paulo;2350000.0;0.0;2090.0;0.0;4;4;3;2019-07-16 00:00:00.000;0.0;212.0;111;The Parker 212, Rua Almeida Torres 111, Aclimação, São Paulo;NuDoor;-023.5676900000;-046.6285700000
Ativo;AP2412;Apartamento;Residencial;Avenida Armando Ferrentini 285;285;Paraíso;Topaz;São Paulo;2080000.0;0.0;2690.0;0.0;3;3;3;2019-07-08 00:00:00.000;0.0;213.0;285;Topaz, Avenida Armando Ferrentini 285, Paraíso, São Paulo;NuDoor;-023.5743800000;-046.6339200000
Ativo;AP2586;Apartamento;Residencial;Rua José Maria Lisboa 330;330;Jardins;J330;São Paulo;2170000.0;0.0;1730.0;0.0;3;3;2;2019-10-18 00:00:00.000;0.0;133.0;330;J330, Rua José Maria Lisboa 330, Jardins, São Paulo;NuDoor;-023.5699000000;-046.6558100000
Ativo;AP1977;Apartamento;Residencial;Rua Pelotas 480;1;Vila Mariana;Storia Ibirapuera;São Paulo;2550000.0;0.0;1740.0;0.01;3;0;3;2018-08-16 00:00:00.000;171.0;161.0;480;Storia Ibirapuera, Rua Pelotas 480, Vila Mariana, São Paulo;NuDoor;-023.5825500000;-046.6470900000
Ativo;AP1964;Apartamento;Residencial;Rua Correia Dias 530;1;Paraíso;Le Premier;São Paulo;2400000.0;0.0;2090.0;800.0;3;3;3;2018-08-13 00:00:00.000;200.0;181.0;530;Le Premier, Rua Correia Dias 530, Paraíso, São Paulo;NuDoor;-023.5768200000;-046.6375100000
Ativo;AP1978;Apartamento;Residencial;Rua Dionísio da Costa 47;1;Vila Mariana;Apogeo;São Paulo;2600000.0;0.0;1970.0;0.01;4;4;4;2018-08-16 00:00:00.000;110.0;250.0;47;Apogeo, Rua Dionísio da Costa 47, Vila Mariana, São Paulo;NuDoor;-023.5893100000;-046.6278300000
Ativo;AP1973;Apartamento;Residencial;Rua Topázio 863;1;Vila Mariana;Référence By Helbor;São Paulo;2250000.0;0.0;2090.0;0.01;4;3;3;2018-08-16 00:00:00.000;220.0;208.0;863;Référence By Helbor, Rua Topázio 863, Vila Mariana, São Paulo;NuDoor;-023.5768800000;-046.6355700000
Ativo;AP2435;Apartamento;Residencial;Rua Pedro Pomponazzi 71;71;Jardim Vila Mariana;Sphera Klabin;São Paulo;2350000.0;0.0;2240.0;0.0;4;3;4;2019-07-16 00:00:00.000;0.0;217.0;71;Sphera Klabin, Rua Pedro Pomponazzi 71, Jardim Vila Mariana, São Paulo;NuDoor;-023.5898700000;-046.6288000000
Ativo;AP1814;Apartamento;Residencial;Rua Humberto I 767;1;Vila Mariana;Vie Vila Mariana;São Paulo;945000.0;0.0;790.0;0.0;2;1;2;2018-06-05 00:00:00.000;72.0;71.0;767;Vie Vila Mariana, Rua Humberto I 767, Vila Mariana, São Paulo;NuDoor;-023.5867800000;-046.6409200000
Ativo;AP2410;Apartamento;Residencial;Rua AL LORENA 0;165;Jardim Paulista;Appia;São Paulo;3900000.0;0.0;3490.0;0.0;4;3;4;2019-07-08 00:00:00.000;0.0;240.0;0;Appia, Rua AL LORENA 0, Jardim Paulista, São Paulo;NuDoor;-023.5665400000;-046.6629700000
Ativo;AP1914;Apartamento;Residencial;Rua Três de Maio 420;1;Vila Clementino;Splendor Vila Clementino;São Paulo;2180000.0;0.0;2290.0;0.01;4;2;3;2018-07-24 00:00:00.000;173.0;163.0;420;Splendor Vila Clementino, Rua Três de Maio 420, Vila Clementino, São Paulo;NuDoor;-023.6033200000;-046.6421000000
Ativo;AP1950;Apartamento;Residencial;Rua Carlos Petit 135;1;Vila Mariana;Up Vila Mariana;São Paulo;1990000.0;0.0;1490.0;0.01;3;3;3;2018-08-07 00:00:00.000;198.0;178.0;135;Up Vila Mariana, Rua Carlos Petit 135, Vila Mariana, São Paulo;NuDoor;-023.5845900000;-046.6361900000
Ativo;AP2698;Apartamento;Residencial;Alameda Sarutaiá 393;1;Jardim Paulista;Murano;São Paulo;8800000.0;0.0;6100.0;3700.0;4;4;5;2019-12-04 00:00:00.000;0.0;430.0;393;Murano, Alameda Sarutaiá 393, Jardim Paulista, São Paulo;NuDoor;-023.5685400000;-046.6553500000
Ativo;AP2421;Apartamento;Residencial;Rua Carlos Steinen 200;200;Paraíso;Figueiras do Parque;São Paulo;2450000.0;0.0;2220.0;0.0;3;3;4;2019-07-11 00:00:00.000;0.0;192.0;200;Figueiras do Parque, Rua Carlos Steinen 200, Paraíso, São Paulo;NuDoor;-023.5754300000;-046.6484400000
Ativo;AP2432;Apartamento;Residencial;Alameda Joaquim Eugênio de Lima 141;141;Paraíso;Move Paulista;São Paulo;700000.0;0.0;700.0;0.0;2;0;1;2019-07-15 00:00:00.000;0.0;54.0;141;Move Paulista, Alameda Joaquim Eugênio de Lima 141, Paraíso, São Paulo;NuDoor;-023.5706100000;-046.6552900000
Ativo;AP2419;Apartamento;Residencial;Rua Eça de Queiróz 325;1;Vila Mariana;Palazzo Vila Mariana;São Paulo;2290000.0;0.0;1090.0;0.0;3;3;2;2019-07-11 00:00:00.000;0.0;163.0;325;Palazzo Vila Mariana, Rua Eça de Queiróz 325, Vila Mariana, São Paulo;NuDoor;-023.5793100000;-046.6439700000
Ativo;AP1952;Apartamento;Residencial;Rua Muniz de Sousa 562;1;Aclimação;Florae Aclimação;São Paulo;1950000.0;0.0;1840.0;0.01;4;3;3;2018-08-07 00:00:00.000;212.0;192.0;562;Florae Aclimação, Rua Muniz de Sousa 562, Aclimação, São Paulo;NuDoor;-023.5675200000;-046.6261100000
Ativo;AP2423;Apartamento;Residencial;Rua Coronel Oscar Porto 472;472;Paraíso;Contemporaneo Paraiso;São Paulo;2600000.0;0.0;2290.0;0.0;3;3;3;2019-07-11 00:00:00.000;0.0;156.0;472;Contemporaneo Paraiso, Rua Coronel Oscar Porto 472, Paraíso, São Paulo;NuDoor;-023.5717500000;-046.6488200000
Ativo;AP1999;Apartamento;Residencial;Rua Afonso de Freitas 739;1;Paraíso;L Autentique Paraíso;São Paulo;2250000.0;0.0;1690.0;0.01;3;3;3;2018-08-30 00:00:00.000;180.0;160.0;739;L Autentique Paraíso, Rua Afonso de Freitas 739, Paraíso, São Paulo;NuDoor;-023.5771000000;-046.6488500000
Ativo;AP1936;Apartamento;Residencial;Rua Bartolomeu de Gusmão 202;1;Vila Mariana;Nova Vila Mariana;São Paulo;2250000.0;0.0;1489.0;0.01;3;3;3;2018-07-31 00:00:00.000;200.0;185.0;202;Nova Vila Mariana, Rua Bartolomeu de Gusmão 202, Vila Mariana, São Paulo;NuDoor;-023.5851100000;-046.6329100000
Ativo;AP2584;Apartamento;Residencial;Alameda Joaquim Eugênio de Lima 961;961;Jardim Paulista;Arte Arquitetura;São Paulo;2750000.0;0.0;1689.0;0.0;3;3;3;2019-10-18 00:00:00.000;0.0;160.0;961;Arte Arquitetura, Alameda Joaquim Eugênio de Lima 961, Jardim Paulista, São Paulo;NuDoor;-023.5693000000;-046.6538700000
Ativo;AP2411;Apartamento;Residencial;Rua Caconde 496;496;Jardim Paulista;Carmel;São Paulo;4400000.0;0.0;3139.0;0.0;4;3;4;2019-07-08 00:00:00.000;0.0;220.0;496;Carmel, Rua Caconde 496, Jardim Paulista, São Paulo;NuDoor;-023.5724000000;-046.6607100000
Ativo;AP2593;Apartamento;Residencial;Rua do Livramento 250;250;Vila Mariana;Bellini;São Paulo;17000000.0;0.0;9303.0;6540.0;4;4;7;2019-10-18 00:00:00.000;0.0;632.0;250;Bellini, Rua do Livramento 250, Vila Mariana, São Paulo;NuDoor;-023.5220400000;-047.5033100000
Ativo;AP2516;Apartamento;Residencial;Alameda Joaquim Eugênio de Lima 111;656;Bela Vista;Move P.;São Paulo;1000000.0;0.0;939.0;0.0;1;1;1;2019-08-29 00:00:00.000;0.0;76.0;111;Move P., Alameda Joaquim Eugênio de Lima 111, Bela Vista, São Paulo;NuDoor;-023.5634700000;-046.6482200000
Ativo;AP2437;Apartamento;Residencial;Rua José Antônio Coelho 485;485;Vila Mariana;Smart Vm;São Paulo;1190000.0;0.0;939.0;0.0;3;1;2;2019-07-17 00:00:00.000;0.0;84.0;485;Smart Vm, Rua José Antônio Coelho 485, Vila Mariana, São Paulo;NuDoor;-023.5806800000;-046.6453000000
Ativo;AP2597;Apartamento;Residencial;Rua Curitiba 381;381;Ibirapuera;Curitiba;São Paulo;8100000.0;0.0;5889.0;0.0;4;4;5;2019-10-18 00:00:00.000;0.0;332.0;381;Curitiba, Rua Curitiba 381, Ibirapuera, São Paulo;NuDoor;-023.5818400000;-046.6535300000
Ativo;AP2573;Apartamento;Residencial;Alameda Joaquim Eugênio de Lima 697;697;Jardim Paulista;Jel;São Paulo;2982940.0;0.0;1989.0;0.0;3;3;2;2019-10-16 00:00:00.000;0.0;143.59;697;Jel, Alameda Joaquim Eugênio de Lima 697, Jardim Paulista, São Paulo;NuDoor;-023.5674200000;-046.6520800000
Ativo;AP1822;Apartamento;Residencial;Rua Pelotas 209;1;Vila Mariana;Soleil Vila Mariana;São Paulo;2000000.0;0.0;1589.0;600.0;3;3;3;2018-06-07 00:00:00.000;0.0;142.0;209;Soleil Vila Mariana, Rua Pelotas 209, Vila Mariana, São Paulo;NuDoor;-023.5818300000;-046.6448100000
Ativo;AP2585;Apartamento;Residencial;Rua da Consolação 2840;2840;Jardim Paulista;Elizabeth;São Paulo;2900000.0;0.0;1904.0;0.0;3;3;3;2019-10-18 00:00:00.000;0.0;150.0;2840;Elizabeth, Rua da Consolação 2840, Jardim Paulista, São Paulo;NuDoor;-023.5584200000;-046.6660000000
Ativo;AP2583;Apartamento;Residencial;Rua Caconde 7;7;Jardim Paulista;Vista Caconde;São Paulo;2248000.0;0.0;1489.0;0.0;3;3;2;2019-10-18 00:00:00.000;0.0;127.0;7;Vista Caconde, Rua Caconde 7, Jardim Paulista, São Paulo;NuDoor;-023.5753500000;-046.6576700000
Ativo;CO0046;Cobertura;Residencial;Alameda Joaquim Eugênio de Lima 695;697;Jardim Paulista;Lina;São Paulo;6769000.0;0.0;3989.0;0.0;3;3;3;2019-10-16 00:00:00.000;0.0;361.47;695;Lina, Alameda Joaquim Eugênio de Lima 695, Jardim Paulista, São Paulo;NuDoor;-023.5674100000;-046.6520700000
Ativo;AP2572;Apartamento;Residencial;Rua Caconde 96;2502;Jardim Paulista;Flaubert;São Paulo;1050000.0;0.0;1289.0;0.0;2;0;1;2019-10-16 00:00:00.000;0.0;98.0;96;Flaubert, Rua Caconde 96, Jardim Paulista, São Paulo;NuDoor;-023.5748200000;-046.6580500000
Ativo;AP2531;Apartamento;Residencial;Rua Tucumã 712;712;Jardim Europa;Lindenberg Tucumã;São Paulo;6920000.0;0.0;5989.0;3000.0;4;4;4;2019-09-13 00:00:00.000;0.0;310.0;712;Lindenberg Tucumã, Rua Tucumã 712, Jardim Europa, São Paulo;NuDoor;-023.5826300000;-046.6913300000
Ativo;AP1917;Apartamento;Residencial;Avenida Doutor Altino Arantes 694;1;Vila Clementino;Storia Vila Clementino;São Paulo;2180000.0;0.0;1889.0;0.01;3;3;3;2018-07-25 00:00:00.000;190.0;174.0;694;Storia Vila Clementino, Avenida Doutor Altino Arantes 694, Vila Clementino, São Paulo;NuDoor;-023.6024500000;-046.6484500000
Ativo;AP1025;Apartamento;Residencial;Rua Paula Ney 673;196;Vila Mariana;Absolute;São Paulo;835000.0;0.0;689.0;0.0;2;1;0;2017-03-21 00:00:00.000;0.0;67.0;673;Absolute, Rua Paula Ney 673, Vila Mariana, São Paulo;NuDoor;-023.5809600000;-046.6336200000
Ativo;AP1799;Apartamento;Residencial;Rua Salvador Cardoso 122;01;Itaim Bibi;Palazzo Maggiore.;São Paulo;14800000.0;0.0;9989.0;0.0;5;5;6;2018-06-04 00:00:00.000;600.0;580.0;122;Palazzo Maggiore., Rua Salvador Cardoso 122, Itaim Bibi, São Paulo;NuDoor;-023.5870800000;-046.6856800000
Ativo;AP1803;Apartamento;Residencial;Rua Frederic Chopin 190;1;Jardim Europa (São Paulo);Villa Adriana;São Paulo;11200000.0;0.0;5669.0;0.0;4;3;4;2018-06-04 00:00:00.000;300.0;495.0;190;Villa Adriana, Rua Frederic Chopin 190, Jardim Europa (São Paulo), São Paulo;NuDoor;-023.5840800000;-046.6885300000
Ativo;AP1801;Apartamento;Residencial;Rua Camargo Cabral 30;1;Jardim Europa;Design Cidade Jardim;São Paulo;11900000.0;0.0;8989.0;0.0;4;4;7;2018-06-04 00:00:00.000;502.0;562.0;30;Design Cidade Jardim, Rua Camargo Cabral 30, Jardim Europa, São Paulo;NuDoor;-023.5840000000;-046.6869400000
Ativo;AP1800;Apartamento;Residencial;Rua Frederic Chopin 245;1;Jardim Europa;Palazzo Del Imperatore;São Paulo;13500000.0;0.0;10989.0;0.0;4;4;6;2018-06-04 00:00:00.000;550.0;516.0;245;Palazzo Del Imperatore, Rua Frederic Chopin 245, Jardim Europa, São Paulo;NuDoor;-023.5833800000;-046.6877000000
Ativo;AP2482;Apartamento;Residencial;Rua Tucumã 671;671;Itaim;Vila Europa;São Paulo;13900000.0;0.0;10989.0;8900.0;4;4;6;2019-08-14 00:00:00.000;0.0;672.0;671;Vila Europa, Rua Tucumã 671, Itaim, São Paulo;NuDoor;-023.5826300000;-046.6911300000
Ativo;AP1815;Apartamento;Residencial;Rua França Pinto 700;1;Vila Mariana;Mansão Bougainville;São Paulo;1950000.0;0.0;2289.0;0.0;4;0;3;2018-06-05 00:00:00.000;157.0;157.0;700;Mansão Bougainville, Rua França Pinto 700, Vila Mariana, São Paulo;NuDoor;-023.5879000000;-046.6430000000
Ativo;AP1802;Apartamento;Residencial;Rua Frederic Chopin 283;1;Jardim Europa (São Paulo);George Sand;São Paulo;18000000.0;0.0;11989.0;0.0;5;5;7;2018-06-04 00:00:00.000;700.0;680.0;283;George Sand, Rua Frederic Chopin 283, Jardim Europa (São Paulo), São Paulo;NuDoor;-023.5832500000;-046.6874600000
Ativo;AP2515;Apartamento;Residencial;Alameda Joaquim Eugênio de Lima 117;171;Jardim Paulista;Move 76m;São Paulo;1050000.0;0.0;967.0;0.0;2;1;1;2019-08-29 00:00:00.000;0.0;76.0;117;Move 76m, Alameda Joaquim Eugênio de Lima 117, Jardim Paulista, São Paulo;NuDoor;-023.5706100000;-046.6552900000
Ativo;AP2588;Apartamento;Residencial;Rua Batataes 586;586;Jardins;Design Arte;São Paulo;7450000.0;0.0;5566.0;3520.0;4;4;5;2019-10-18 00:00:00.000;0.0;407.0;586;Design Arte, Rua Batataes 586, Jardins, São Paulo;NuDoor;-023.5953200000;-046.6667300000
Ativo;AP2440;Apartamento;Residencial;Rua Humberto I 500;500;Vila Mariana;Novavilla;São Paulo;880000.0;0.0;699.0;0.0;2;0;2;2019-07-17 00:00:00.000;0.0;64.0;500;Novavilla, Rua Humberto I 500, Vila Mariana, São Paulo;NuDoor;-023.5848100000;-046.6422800000
Ativo;AP1805;Apartamento;Residencial;Rua Emanuel Kant 170;1b;Jardim Europa;Europa;São Paulo;12000000.0;0.0;8989.0;0.0;4;4;5;2018-06-04 00:00:00.000;410.0;391.0;170;Europa, Rua Emanuel Kant 170, Jardim Europa, São Paulo;NuDoor;-023.5813300000;-046.6809000000
Ativo;AP2439;Apartamento;Residencial;Rua Humberto I 761;761;Vila Maria;Vie H1;São Paulo;965000.0;0.0;839.0;0.0;2;1;2;2019-07-17 00:00:00.000;0.0;71.0;761;Vie H1, Rua Humberto I 761, Vila Maria, São Paulo;NuDoor;-023.5867300000;-046.6409800000
Ativo;AP2438;Apartamento;Residencial;Rua José Antônio Coelho 480;480;Vila Mariana;Smart 64;São Paulo;950000.0;0.0;709.0;0.0;2;0;2;2019-07-17 00:00:00.000;0.0;64.0;480;Smart 64, Rua José Antônio Coelho 480, Vila Mariana, São Paulo;NuDoor;-023.5806000000;-046.6449400000
Ativo;AP2441;Apartamento;Residencial;Rua Gaspar Lourenco 200;200;Vila Mariana;Esy84;São Paulo;960000.0;0.0;837.0;0.0;3;1;2;2019-07-17 00:00:00.000;0.0;84.0;200;Esy84, Rua Gaspar Lourenco 200, Vila Mariana, São Paulo;NuDoor;-023.5816300000;-046.6347300000
Ativo;AP1820;Apartamento;Residencial;Rua Padre Machado 890;1;Vila Mariana;Paseo - Orchard;São Paulo;1650000.0;0.0;1689.0;0.0;4;2;3;2018-06-07 00:00:00.000;173.0;141.0;890;Paseo - Orchard, Rua Padre Machado 890, Vila Mariana, São Paulo;NuDoor;-023.6016700000;-046.6298700000
Ativo;AP1798;Apartamento;Residencial;Rua Romilda Margarida Gabriel 99;1;Itaim Bibi;Jardim de Ville;São Paulo;4900000.0;0.0;4489.0;0.0;4;4;5;2018-06-04 00:00:00.000;310.0;292.0;99;Jardim de Ville, Rua Romilda Margarida Gabriel 99, Itaim Bibi, São Paulo;NuDoor;-023.5778600000;-046.6718600000
Ativo;AP1986;Apartamento;Residencial;Rua Embuaçu 1;1;Vila Mariana;Terra Vitris;São Paulo;1320000.0;0.0;1589.0;0.01;3;3;2;2018-08-22 00:00:00.000;151.0;141.0;1;Terra Vitris, Rua Embuaçu 1, Vila Mariana, São Paulo;NuDoor;-023.5948800000;-046.6293700000
Ativo;AP2476;Apartamento;Residencial;Rua Seridó 106;106;Jardim Europa;Seridó;São Paulo;16000000.0;0.0;5989.0;0.0;4;4;6;2019-08-12 00:00:00.000;0.0;505.0;106;Seridó, Rua Seridó 106, Jardim Europa, São Paulo;NuDoor;-023.5829300000;-046.6898900000
Cancelado;AP2737;Apartamento;Residencial;Rua Estela 22;APTO 408;Vila Mariana;Mara Manrubia Trama;São Paulo;390000.0;0.0;390.0;0.01;1;0;0;2020-01-11 00:00:00.000;70.0;33.0;22;Mara Manrubia Trama, Rua Estela 22, Vila Mariana, São Paulo;NuDoor;-023.5772600000;-046.6412700000
Ativo;AP2142;Apartamento;Residencial;Avenida Brigadeiro Luis Antonio 1272;11;Bela Vista;Polaris;São Paulo;270000.0;0.0;315.0;0.0;1;0;0;2018-12-25 00:00:00.000;35.0;35.0;1272;Polaris, Avenida Brigadeiro Luis Antonio 1272, Bela Vista, São Paulo;NuDoor;-023.5603300000;-046.6433400000
Ativo;AP1745;Apartamento;Residencial;Rua Leôncio de Carvalho 166;apto 133;Paraíso;Bambi;São Paulo;0.0;3130.0;531.36;160.0;2;0;1;2018-05-11 00:00:00.000;80.0;58.0;166;Bambi, Rua Leôncio de Carvalho 166, Paraíso, São Paulo;NuDoor;-023.5704900000;-046.6459600000
